"R0000100","R0000600","R0001800","R0008800","R0009100","R0009600","R0010300","R0010400","R0010500","R0010600","R0013200","R0013400","R0015300","R0145100","R0146100","R0149800","R0149900","R0173600","R0214700","R0214800","R0216400","R0216601","R0217900","R0217910","T0857100","T2015100","T2998600","T3942500","T4876800","T5593000"
69,14,1,-4,1,29,7,7,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,40000,0,-4,-4,-4,-4,-4,-4
70,17,1,-4,1,3,7,7,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,-3,-3,-5,-4,-4,-4,-4,-4
71,15,1,-4,1,3,7,7,5,5,4,-4,6,0,-4,2,-4,1,3,1,1,2,-2,-3,-5,-5,-4,-5,-4,-4
72,19,1,-4,2,3,3,3,2,5,3,-4,3,0,-4,-4,-4,5,3,2,3,3,-1,-3,0,0,0,0,0,0
73,15,1,-4,2,3,3,3,4,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,25000,0,-4,-4,-4,-5,-4,-4
74,19,1,1,3,3,9,0,1,5,10,-4,6,0,-4,-4,-4,5,3,2,1,4,-2,-3,-5,-5,-5,-5,-5,-5
75,17,1,-4,3,3,9,9,5,5,2,-4,2,0,-4,2,3,5,3,2,1,2,-1,-3,2,2,2,2,2,2
76,15,1,-4,3,21,9,9,5,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,-2,-3,-4,-4,-4,-4,-4,-4
77,14,1,-4,1,3,1,1,1,5,3,-4,3,0,-4,4,4,5,3,2,1,2,-1,-3,0,0,0,0,0,0
78,21,1,-4,2,6,7,7,5,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,32000,0,4,-5,-5,-5,-5,-5
79,18,1,-4,2,6,7,7,4,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,35000,0,-5,-5,-5,-5,-5,-5
80,15,1,-4,5,12,7,7,4,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-4,-4
81,14,1,-4,5,12,7,7,6,5,4,-4,4,0,-4,2,-4,1,3,1,1,2,-1,-3,-4,-5,-5,-5,-4,-4
82,20,1,-4,6,1,-2,0,1,5,4,-4,4,0,-4,-4,-4,3,2,1,1,4,-1,-3,-5,-4,-5,-5,-5,-5
83,18,1,-4,3,1,2,2,1,5,3,-4,2,0,-4,-4,-4,3,2,1,1,1,22426,0,-4,-4,-4,-4,-4,-4
84,15,1,-4,3,1,2,2,3,5,4,-4,4,0,-4,3,-4,3,2,1,1,2,22426,0,-4,-4,-4,-4,-4,-4
85,19,1,-4,7,1,0,0,1,5,1,1,0,0,-4,-4,-4,3,2,1,-4,1,12475,0,-4,-4,-4,-4,-4,-4
86,18,1,-4,7,1,2,2,1,5,4,1,3,0,-4,-4,-4,7,2,2,1,1,1688,1,1,1,1,1,1,1
87,15,1,-4,7,1,2,2,2,5,8,-4,6,0,-4,1,-4,3,2,1,1,2,12475,0,-4,-4,-4,-4,-4,-4
88,21,1,-4,1,1,1,1,2,5,2,-4,2,0,-4,-4,-4,3,2,1,1,4,-2,-3,-4,-4,-4,-4,-4,-4
89,20,1,-4,8,1,9,1,1,5,0,-4,2,0,-4,-4,-4,7,2,2,1,3,29000,0,1,1,-5,-5,-5,1
90,20,1,-4,2,22,7,7,5,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,-2,-3,-4,-4,-4,-4,-4,-4
91,15,1,-4,2,22,7,7,5,5,2,-4,2,1,3,2,2,5,3,2,1,2,-2,-3,2,2,2,2,2,2
92,16,1,-4,1,3,7,7,5,5,2,-4,3,0,-4,4,2,5,3,2,1,2,-1,-3,2,2,2,2,2,2
93,14,1,-4,1,22,7,7,1,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,8000,0,-4,-4,-4,-4,-4,-4
94,22,1,-4,2,29,7,7,2,5,0,-4,0,0,-4,-4,-4,1,3,1,1,1,24000,0,-4,-4,-4,-4,-4,-4
95,18,1,-4,2,12,7,7,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,4,24000,0,3,3,3,3,3,3
96,17,1,1,2,6,7,7,2,5,4,-4,2,0,-4,2,3,6,3,2,1,1,3000,1,3,3,3,3,3,3
97,21,1,1,7,11,7,7,2,5,4,-4,2,0,-4,-4,-4,5,3,2,1,4,8000,0,2,2,2,2,2,2
98,21,1,1,2,3,1,0,2,5,1,-4,1,1,3,-4,-4,6,3,2,1,4,6618,0,3,3,3,3,3,3
99,21,1,-4,1,5,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,22500,0,2,2,2,2,2,2
100,15,1,-4,2,22,9,7,6,5,4,-4,6,0,-4,2,2,5,3,2,1,2,5904,0,3,3,3,3,3,3
101,20,1,-4,1,12,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,15000,0,-5,-5,-4,-5,-5,-5
102,14,1,-4,1,12,7,7,5,5,6,-4,4,0,-4,-2,4,5,3,2,1,2,15000,0,1,1,1,1,1,1
103,20,1,-4,2,22,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,16400,0,-4,-4,-4,-4,-4,-4
104,20,1,-4,0,12,7,7,1,5,0,-4,0,0,-4,-4,-4,5,3,2,1,4,-1,-3,-5,-5,-5,-5,-5,-5
105,20,1,-4,0,22,7,0,1,5,2,-4,2,0,-4,-4,-4,6,3,2,1,4,28000,0,0,0,0,0,-5,-5
106,18,1,-4,1,22,7,7,5,5,2,-4,2,0,-4,-4,-4,1,3,1,1,2,11000,0,-4,-4,-4,-4,-4,-4
107,17,1,-4,2,6,5,5,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,25000,0,-4,-4,-4,-4,-4,-4
108,20,1,-4,2,29,9,9,3,5,3,-4,3,0,-4,-4,-4,1,3,1,1,3,25000,0,-4,-4,-4,-4,-4,-4
109,16,1,-4,2,3,3,3,2,5,4,-4,3,0,-4,2,3,5,3,2,1,2,18000,0,-5,-5,-5,-5,-5,-5
110,21,1,-4,3,5,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,-2,-3,-4,-4,-4,-4,-4,-4
111,19,1,-4,3,5,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,-2,-3,3,3,3,3,3,3
112,15,1,-4,3,3,7,7,3,5,1,-4,3,0,-4,2,3,5,3,2,-4,2,-2,-3,2,2,2,2,2,2
113,16,1,-4,3,22,7,7,2,5,3,-4,-2,0,-4,2,-4,1,3,1,1,2,-2,-3,-5,-5,-5,-5,-5,-5
114,22,1,-4,3,22,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,-2,-3,-5,-5,-5,-5,-5,-5
115,18,1,-4,2,3,9,0,1,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,52300,0,-5,-5,-5,-5,4,4
116,15,1,-4,2,3,9,9,5,5,4,-4,4,0,-4,3,4,5,3,2,1,2,52300,0,-5,-5,-5,-5,-5,-5
117,19,1,-4,2,3,9,9,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,52300,0,-4,-4,-4,-4,-4,-4
118,17,2,-4,2,3,7,7,1,5,2,-4,2,0,-4,3,4,5,3,2,1,1,14000,0,-5,-5,-5,-5,-5,-5
119,21,1,-4,2,5,9,1,1,5,3,-4,-3,0,-4,-4,-4,1,3,1,1,3,7400,0,-4,-4,-4,-4,-4,-4
120,17,2,-4,2,5,7,7,2,5,-2,-4,-2,0,-4,2,-4,1,3,1,1,2,60000,0,-4,-4,-4,-4,-4,-4
121,14,1,-4,2,3,7,7,2,5,2,-4,2,0,-4,4,4,5,3,2,1,2,60000,0,1,1,1,1,1,1
122,17,1,-4,1,5,7,7,3,5,0,-4,0,0,-4,3,-4,1,3,1,1,2,12000,0,-4,-4,-4,-4,-4,-4
123,16,1,-4,1,3,3,3,2,5,2,-4,-2,0,-4,-4,-4,1,3,1,1,2,-2,-3,-5,-5,-5,-5,-5,-5
124,18,1,-4,7,5,7,7,5,5,2,-4,0,0,-4,-4,-4,5,3,2,1,2,-2,-3,2,2,2,2,2,2
125,22,1,-4,7,5,7,0,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,30000,0,-5,-5,-5,-5,-5,-5
126,20,1,-4,7,5,7,7,2,5,2,-4,2,0,-4,-4,-4,1,3,1,-4,3,30000,0,-4,-4,-4,-4,-4,-4
127,19,1,-4,1,3,2,2,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,1,15000,0,-5,-5,-5,-5,-5,-5
128,20,1,-4,-3,6,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,-2,-3,2,2,2,2,2,2
129,18,1,-4,3,6,7,7,5,5,4,-4,4,0,-4,-4,-4,1,3,1,1,2,45000,0,-4,-4,-4,-4,-4,-4
130,19,2,1,7,6,9,9,6,5,-3,-4,-3,0,-4,-4,-4,6,3,2,1,3,0,1,-5,-5,-5,-5,-5,-5
131,19,2,1,10,3,9,9,6,5,-2,-4,-2,0,-4,-4,-4,6,3,2,1,4,0,1,-5,-5,-5,-5,-5,-5
132,19,2,1,5,3,9,9,6,5,-2,-4,-2,0,-4,-4,-4,6,3,2,1,4,-3,-3,-5,-5,-5,-5,-5,-5
133,16,1,-4,4,12,7,7,4,5,2,-4,3,0,-4,1,4,5,3,2,1,2,25000,0,1,1,-5,1,1,1
134,17,1,-4,5,12,7,7,1,5,3,-4,3,0,-4,1,-4,1,3,1,1,1,-3,-3,-5,-5,-4,-5,-5,-5
135,14,1,-4,5,3,7,7,1,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,-3,-3,-5,-4,-4,-4,-4,-4
136,21,1,-4,1,3,3,3,1,5,2,-4,2,0,-4,-4,-4,5,3,2,-4,4,-2,-3,0,0,0,0,0,0
137,17,1,-4,4,5,7,7,5,5,4,-4,4,0,-4,2,2,5,3,2,1,2,40000,0,2,2,2,2,2,2
138,16,1,-4,4,11,7,7,5,5,2,-4,2,0,-4,1,1,5,3,2,1,2,40000,0,3,3,3,3,3,3
139,15,1,-4,4,11,7,7,5,5,2,-4,2,0,-4,4,-4,1,3,1,1,2,40000,0,-4,-4,-4,-4,-5,-5
140,20,2,-4,1,11,7,7,5,5,1,-4,1,0,-4,-4,-4,5,3,2,1,3,36000,0,1,1,1,1,1,1
141,16,1,-4,2,3,9,9,4,5,2,-4,3,0,-4,3,3,5,3,2,1,2,29000,0,0,-5,0,0,0,0
142,19,2,-4,3,22,7,7,3,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,17000,0,-5,-5,-4,-4,-5,-5
143,17,1,-4,3,22,7,7,3,5,2,-4,2,1,1,1,3,5,3,2,1,2,17000,0,4,4,4,-5,-5,-5
144,14,1,-4,3,22,7,7,5,5,2,-4,2,0,-4,3,3,5,3,2,1,2,17000,0,3,-5,3,3,3,3
145,16,1,-4,3,3,7,7,2,5,3,-4,3,1,3,-2,-4,1,3,1,1,2,12000,0,-4,-4,-4,-4,-5,-5
146,15,1,-4,3,3,7,7,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,12000,0,-4,-4,-4,-4,-4,-4
147,17,2,-4,0,6,9,9,3,5,2,-4,3,0,-4,2,2,5,3,2,1,2,22000,0,2,2,2,2,2,2
148,16,1,-4,2,6,2,2,2,5,2,-4,2,0,-4,3,-4,1,3,1,1,2,22000,0,-4,-4,-4,-4,-4,-4
149,15,1,-4,2,6,2,2,4,5,2,-4,2,0,-4,2,3,5,3,2,1,2,22000,0,2,2,2,2,2,2
150,19,1,-4,0,6,7,7,4,5,1,-4,1,0,-4,-4,-4,1,3,1,1,4,35000,0,-4,-4,-4,-4,-5,-5
151,21,1,-4,2,12,7,7,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,4,35000,0,-5,-5,-5,-5,-5,-5
152,17,1,-4,2,12,7,7,5,5,2,-4,2,0,-4,2,3,5,3,2,1,2,35000,0,0,0,0,0,0,0
153,16,1,-4,2,11,7,7,2,5,3,-4,2,0,-4,2,3,5,3,2,1,2,25000,0,2,2,2,2,2,2
154,14,1,-4,2,11,7,7,1,5,1,-4,1,0,-4,3,3,5,3,2,1,2,25000,0,-5,-5,-5,-5,-5,-5
155,15,1,-4,3,5,7,7,2,5,6,-4,2,0,-4,1,-4,1,3,1,1,2,18000,0,-5,-5,-4,-4,-5,-4
156,21,1,-4,4,12,7,7,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,1,0,1,-4,-4,-4,-4,-4,-5
157,17,1,-4,2,12,7,7,5,5,5,-4,5,-4,1,1,3,5,3,2,1,2,35000,0,-5,2,2,2,2,2
158,20,1,-4,2,12,7,7,5,5,0,-4,2,0,-4,-4,-4,5,3,2,1,3,35000,0,2,2,-5,2,2,2
159,18,1,-4,2,12,7,7,5,5,4,-4,4,0,-4,-4,-4,5,3,2,1,3,35000,0,-5,-5,-5,-5,-5,-5
160,19,1,-4,3,5,7,7,3,5,1,-4,2,0,-4,-4,-4,5,3,2,1,3,17000,0,1,1,1,1,1,1
161,17,1,-4,3,5,7,7,5,5,3,-4,2,0,-4,3,4,5,3,2,1,2,17000,0,2,2,2,2,2,2
162,17,1,-4,2,28,3,3,4,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,24000,0,-4,-5,-5,-5,-5,-5
163,16,1,-4,2,3,3,3,3,5,0,-4,0,0,-4,3,-4,1,3,1,1,2,24000,0,-5,-5,-5,-5,-5,-5
164,19,1,-4,3,5,7,7,2,5,1,-4,3,0,-4,-4,-4,5,3,2,1,4,-2,-3,-5,-5,-5,0,0,-5
165,18,1,-4,3,3,7,7,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,2,20000,0,3,3,3,3,3,3
166,17,1,-4,3,6,7,7,1,5,2,-4,2,0,-4,1,-4,1,3,1,1,2,20000,0,-4,-4,-5,-4,-5,-5
167,19,1,-4,4,22,7,7,4,5,5,-4,4,0,-4,-4,-4,5,3,2,1,4,-2,-3,-5,-5,-5,-5,-5,-5
168,17,1,-4,4,1,1,0,2,5,4,-4,2,1,3,2,-4,3,2,1,1,2,3874,1,-5,-5,-4,-4,-4,-4
169,16,1,-4,4,1,1,0,6,5,0,-4,0,1,2,3,3,7,2,2,1,2,3874,1,-5,-5,0,0,0,-5
170,22,1,-4,1,7,9,9,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,3,-2,-3,-5,-5,-5,-5,-5,-5
171,17,1,-4,0,28,9,9,1,5,3,-4,3,0,-4,1,-4,1,3,1,1,2,-1,-3,-4,-4,-4,-4,-4,-4
172,21,1,-4,9,12,7,7,2,5,1,-4,0,0,-4,-4,-4,6,3,2,1,1,3162,0,1,1,1,1,1,1
173,16,1,-4,2,28,4,7,1,5,2,-4,2,0,-4,1,-4,1,3,1,1,2,5000,1,-5,-5,-5,-5,-5,-5
174,18,1,-4,1,19,7,7,2,5,3,-4,3,0,-4,-4,-4,8,1,2,1,3,30000,0,2,2,2,2,2,2
175,21,1,1,2,3,8,8,1,5,4,-4,4,0,-4,-4,-4,5,3,2,4,3,6600,0,-5,4,4,4,4,4
176,19,1,1,2,3,8,8,2,5,4,-4,4,0,-4,-4,-4,5,3,2,1,3,-2,-3,-5,-5,-5,-5,-5,-5
177,18,1,-4,2,3,8,8,1,5,2,-4,2,0,-4,-4,-4,1,3,1,3,1,8813,0,-5,-5,-4,-5,-5,-5
178,20,1,-4,2,6,7,7,2,5,3,-4,2,1,1,-4,-4,1,3,1,1,4,-2,-3,-4,-4,-4,-4,-5,-5
179,20,1,-4,2,12,7,7,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,4,10000,0,2,2,2,2,2,2
180,21,1,1,4,3,7,7,5,1,4,1,3,0,-4,-4,-4,5,3,2,1,4,18698,0,-5,-5,-5,-5,3,3
181,20,1,-4,1,22,8,8,2,5,2,-4,2,0,-4,-4,-4,1,3,1,1,4,12000,0,-4,-4,-4,-4,-4,-4
182,14,1,-4,1,22,8,8,2,5,4,-4,4,0,-4,1,-4,1,3,1,1,2,12000,0,-5,-5,-4,-4,-4,-4
183,20,1,-4,3,3,4,4,2,5,2,-4,2,0,-4,-4,-4,5,3,2,1,4,23000,0,3,3,3,-5,-5,-5
184,18,1,-4,3,6,4,4,4,5,3,-4,1,0,-4,-4,-4,5,3,2,1,4,23000,0,1,1,1,1,1,1
185,14,1,-4,3,3,4,4,5,5,3,-4,3,0,-4,2,-4,1,3,1,1,2,23000,0,-4,-4,-4,-4,-4,-4
186,19,1,-4,2,6,7,7,2,5,3,-4,3,0,-4,-4,-4,5,3,2,1,3,30000,0,1,1,1,1,1,1
187,14,1,-4,2,6,7,7,2,5,5,-4,5,0,-4,-2,-4,1,3,1,1,2,30000,0,-5,-5,-5,-5,-5,-5
188,20,1,-4,1,3,5,5,5,5,4,-4,2,0,-4,-4,-4,5,3,2,1,1,22000,0,1,1,1,1,1,1
189,21,1,1,2,12,7,7,1,5,4,-4,4,0,-4,-4,-4,1,3,1,1,3,-2,-3,-4,-4,-4,-4,-4,-4
190,17,1,-4,2,10,9,9,1,5,2,-4,2,0,-4,2,3,5,3,2,1,2,26000,0,1,1,1,1,1,1
191,15,1,-4,2,10,9,9,1,5,2,-4,2,0,-4,2,-4,1,3,1,1,2,26000,0,-4,-4,-4,-4,-4,-4
192,15,1,-4,1,3,7,7,2,5,2,-4,2,0,-4,2,2,5,3,2,1,2,20000,0,3,3,3,3,3,3
193,21,1,-4,1,4,7,7,1,5,2,-4,2,0,-4,-4,-4,1,3,1,1,3,28000,0,-4,-4,-4,-4,-4,-4
194,14,1,-4,1,3,7,7,1,5,4,-4,4,0,-4,1,-4,1,3,1,1,2,28000,0,-5,-5,-5,-5,-5,-5
195,19,1,-4,1,6,4,4,2,5,4,-4,2,0,-4,-4,-4,1,3,1,1,3,31000,0,-4,-4,-4,-4,-4,-4
196,14,1,-4,1,6,7,7,5,5,3,-4,2,0,-4,2,-4,1,3,1,1,2,70000,0,-5,-5,-5,-5,-5,-5
197,16,1,-4,3,12,7,7,1,5,2,-4,2,0,-4,2,3,5,3,2,1,2,25000,0,2,2,-5,2,2,2
